#,Name,Type,Attack,Defense,HP,Catch,Flee,Fast Moves,Charge Moves
001,Bulbasaur,Grass Poison,118,111,128,20%,10%,Vine WhipTackle,Seed BombSludge BombPower WhipFrustration (Shadow)Return (Shadow)
002,Ivysaur,Grass Poison,151,143,155,10%,7%,Vine WhipRazor Leaf,Sludge BombSolar BeamPower WhipFrustration (Shadow)Return (Shadow)
003,Venusaur,Grass Poison,198,189,190,5%,5%,Vine WhipRazor Leaf,Petal BlizzardSludge BombSolar BeamFrenzy Plant (Community Day)Frustration (Shadow)Return (Shadow)
004,Charmander,Fire,116,93,118,20%,10%,EmberScratch,FlamethrowerFlame ChargeFlame BurstFrustration (Shadow)Return (Shadow)
005,Charmeleon,Fire,158,126,151,10%,7%,EmberScratch (legacy)Fire Fang,FlamethrowerFlame BurstFire PunchFrustration (Shadow)Return (Shadow)
006,Charizard,Fire Flying,223,173,186,5%,5%,Dragon Breath (Community Day)Ember (legacy)Wing Attack (legacy)Air SlashFire Spin,Flamethrower (legacy)Dragon ClawFire BlastOverheatBlast Burn (Community Day)Frustration (Shadow)Return (Shadow)
007,Squirtle,Water,94,121,127,20%,10%,TackleBubble,Aqua JetAqua TailWater PulseFrustration (Shadow)Return (Shadow)
008,Wartortle,Water,126,155,153,10%,7%,BiteWater Gun,Ice BeamAqua JetHydro PumpFrustration (Shadow)Return (Shadow)
009,Blastoise,Water,171,207,188,5%,5%,BiteWater Gun,Flash CannonIce BeamHydro PumpHydro Cannon (Community Day)Skull BashFrustration (Shadow)Return (Shadow)
010,Caterpie,Bug,55,55,128,50%,20%,Bug BiteTackle,Struggle
011,Metapod,Bug,45,80,137,25%,9%,Bug BiteTackle,Struggle
012,Butterfree,Bug Flying,167,137,155,12.5%,6%,Bug Bite (legacy)ConfusionStruggle Bug,Bug BuzzSignal BeamPsychic
013,Weedle,Bug Poison,63,50,120,50%,20%,Bug BitePoison Sting,StruggleFrustration (Shadow)Return (Shadow)
014,Kakuna,Bug Poison,46,75,128,25%,9%,Bug BitePoison Sting,StruggleFrustration (Shadow)Return (Shadow)
015,Beedrill,Bug Poison,169,130,163,12.5%,6%,Bug Bite (legacy)Poison JabInfestation,Aerial AceDrill Run (Community Day)Sludge BombX-ScissorFell StingerFrustration (Shadow)Return (Shadow)
016,Pidgey,Normal Flying,85,73,120,50%,20%,Quick AttackTackle,Aerial AceTwisterAir Cutter
017,Pidgeotto,Normal Flying,117,105,160,25%,9%,Wing AttackSteel Wing,Aerial AceTwisterAir Cutter
018,Pidgeot,Normal Flying,166,154,195,12.5%,6%,Wing Attack (legacy)Steel WingAir SlashGust (legacy),Aerial AceAir Cutter (legacy)HurricaneBrave BirdFeather Dance
019,Rattata,Normal,103,70,102,50%,20%,Quick AttackTackle,DigHyper FangBody SlamFrustration (Shadow)Return (Shadow)
019,Rattata Alolan Rattata,Dark Normal,103,70,102,50%,20%,Quick AttackTackle,Shadow BallHyper FangCrunch
020,Raticate,Normal,161,139,146,20%,7%,BiteQuick Attack,Hyper BeamDigHyper FangFrustration (Shadow)Return (Shadow)
020,Raticate Alolan Raticate,Dark Normal,135,154,181,20%,7%,BiteQuick Attack,Hyper BeamHyper FangCrunch
021,Spearow,Normal Flying,112,60,120,50%,15%,PeckQuick Attack,Drill PeckAerial AceTwister (legacy)Sky Attack
022,Fearow,Normal Flying,182,133,163,20%,7%,PeckSteel Wing,Aerial AceDrill RunTwister (legacy)Sky Attack
023,Ekans,Poison,110,97,111,50%,15%,AcidPoison Sting,WrapPoison FangSludge BombGunk Shot (legacy)Frustration (Shadow)Return (Shadow)
024,Arbok,Poison,167,153,155,20%,7%,BiteAcidDragon Tail,Dark PulseSludge WaveGunk ShotAcid SprayFrustration (Shadow)Return (Shadow)
025,Pikachu,Electric,112,96,111,20%,10%,Thunder ShockQuick AttackPresent (legacy),DischargeThunder (legacy)ThunderboltWild ChargeSurf (Community Day)
025,Pikachu Pikachu Libre,Electric,112,96,111,20%,0%,Thunder ShockCharm,Thunder PunchPlay RoughFlying Press
025,Pikachu 5-Shaped Balloon,Electric,112,96,111,20%,10%,Thunder ShockQuick AttackPresent,DischargeThunderboltWild ChargeFly
025,Pikachu Pop Star,Electric,112,96,111,20%,0%,Thunder ShockCharm,Thunder PunchDraining KissPlay Rough
025,Pikachu Rock Star,Electric,112,96,111,20%,0%,Thunder ShockCharm,Thunder PunchPlay RoughMeteor Mash
026,Raichu,Electric,193,151,155,10%,6%,Thunder ShockSparkVolt SwitchCharm,Thunder PunchThunder (legacy)Brick BreakWild ChargeSkull Bash
026,Raichu Alolan Raichu,Electric Psychic,201,154,155,10%,6%,Thunder ShockSparkVolt Switch,Thunder PunchPsychicWild ChargeGrass Knot
027,Sandshrew,Ground,126,120,137,50%,10%,Mud ShotScratch,DigRock Tomb (legacy)Rock SlideSand TombFrustration (Shadow)Return (Shadow)
027,Sandshrew Alolan Sandshrew,Ice Steel,125,129,137,50%,10%,Metal ClawPowder Snow,BlizzardNight SlashGyro Ball
028,Sandslash,Ground,182,175,181,20%,6%,Mud ShotMetal Claw,EarthquakeNight Slash (Community Day)Rock TombBulldozeFrustration (Shadow)Return (Shadow)
028,Sandslash Alolan Sandslash,Ice Steel,177,195,181,20%,6%,Shadow Claw (Community Day)Metal ClawPowder Snow,Ice PunchBlizzardBulldozeGyro Ball
029,Nidoran♀,Poison,86,89,146,50%,15%,BitePoison Sting,Poison FangSludge BombBody SlamFrustration (Shadow)Return (Shadow)
030,Nidorina,Poison,117,120,172,25%,7%,BitePoison Sting,DigPoison FangSludge BombFrustration (Shadow)Return (Shadow)
031,Nidoqueen,Poison Ground,180,173,207,12.5%,5%,BitePoison Jab,EarthquakeStone EdgePoison FangSludge WaveEarth PowerFrustration (Shadow)Return (Shadow)
032,Nidoran♂,Poison,105,76,130,50%,15%,PeckPoison Sting,Sludge BombHorn AttackBody SlamFrustration (Shadow)Return (Shadow)
033,Nidorino,Poison,137,111,156,25%,7%,Poison JabPoison Sting,DigSludge BombHorn AttackFrustration (Shadow)Return (Shadow)
034,Nidoking,Poison Ground,204,156,191,12.5%,5%,Fury Cutter (legacy)Poison JabIron Tail,MegahornEarthquakeSludge WaveSand TombEarth PowerFrustration (Shadow)Return (Shadow)
035,Clefairy,Fairy,107,108,172,30%,10%,PoundZen Headbutt,Disarming VoiceMoonblastBody Slam
036,Clefable,Fairy,178,162,216,10%,6%,Pound (legacy)Zen HeadbuttCharge BeamCharm,Dazzling GleamMoonblastPsychicMeteor Mash
037,Vulpix,Fire,96,109,116,30%,10%,EmberQuick Attack,FlamethrowerFlame ChargeBody SlamWeather Ball - FireFrustration (Shadow)Return (Shadow)
037,Vulpix Alolan Vulpix,Ice,96,109,116,30%,10%,Zen HeadbuttPowder Snow,Dark PulseIce BeamBlizzardWeather Ball - Ice
038,Ninetales,Fire,169,190,177,10%,6%,Ember (legacy)Feint AttackFire Spin,Flamethrower (legacy)Heat WavePsyshockFire Blast (legacy)Solar BeamOverheatWeather Ball - FireFrustration (Shadow)Return (Shadow)
038,Ninetales Alolan Ninetales,Ice Fairy,170,193,177,10%,6%,Feint AttackPowder SnowCharm,Ice BeamBlizzardPsyshockDazzling GleamWeather Ball - Ice
039,Jigglypuff,Normal Fairy,80,41,251,50%,10%,PoundFeint Attack,Disarming VoiceDazzling GleamPlay Rough (legacy)Body Slam (legacy)Gyro Ball
040,Wigglytuff,Normal Fairy,156,90,295,20%,6%,PoundFeint AttackCharm,Hyper BeamIce BeamDazzling GleamPlay Rough
041,Zubat,Poison Flying,83,73,120,50%,20%,BiteQuick Attack,Poison FangSludge Bomb (legacy)Air CutterSwiftFrustration (Shadow)Return (Shadow)
042,Golbat,Poison Flying,161,150,181,20%,7%,BiteWing Attack,Poison FangOminous Wind (legacy)Shadow BallAir CutterFrustration (Shadow)Return (Shadow)
043,Oddish,Grass Poison,131,112,128,60%,15%,Razor LeafAcid,Seed BombMoonblastSludge BombFrustration (Shadow)Return (Shadow)
044,Gloom,Grass Poison,153,136,155,30%,7%,Razor LeafAcid,Petal BlizzardMoonblastSludge BombFrustration (Shadow)Return (Shadow)
045,Vileplume,Grass Poison,202,167,181,15%,5%,Razor LeafAcid,Petal BlizzardMoonblastSludge BombSolar BeamFrustration (Shadow)Return (Shadow)
046,Paras,Bug Grass,121,99,111,40%,15%,Bug BiteScratch,Seed BombCross PoisonX-Scissor
047,Parasect,Bug Grass,165,146,155,20%,7%,Fury CutterBug Bite (legacy)Struggle Bug,Cross PoisonX-ScissorSolar Beam
048,Venonat,Bug Poison,100,100,155,50%,15%,Bug BiteConfusion,PsybeamPoison FangSignal BeamFrustration (Shadow)Return (Shadow)
049,Venomoth,Bug Poison,179,143,172,20%,7%,Bug Bite (legacy)ConfusionInfestation,Bug BuzzPoison FangPsychicSilver WindFrustration (Shadow)Return (Shadow)
050,Diglett,Ground,109,78,67,50%,10%,ScratchMud-Slap,DigRock TombMud BombFrustration (Shadow)Return (Shadow)
050,Diglett Alolan Diglett,Ground Steel,108,81,67,50%,10%,Metal ClawMud-Slap,DigRock TombMud Bomb
